File,isSpam,isCorrect,Spam Probability,Not Spam Probability
8-1182msg1.txt,0,1,-505.723708589229,-444.6483573310335
8-1182msg2.txt,0,1,-600.8996276038581,-500.2823285072327
8-1204msg1.txt,0,1,-2949.339797914513,-2562.3879843104164
8-1211msg1.txt,0,1,-2038.5961134674844,-1726.9210511368144
8-1214msg1.txt,0,1,-2281.6164923345195,-2127.013450213749
8-1214msg2.txt,0,1,-795.2231477002558,-707.0230085768641
8-1215msg1.txt,0,1,-2668.347254600638,-2416.9054448241873
8-1231msg1.txt,0,1,-2438.651493050493,-2186.919896559369
8-1239msg1.txt,0,1,-1115.0687504440166,-911.2958695451647
8-1242msg1.txt,0,1,-3560.3554760594375,-3306.290522672915
8-1245msg1.txt,0,1,-2843.621200867701,-2468.6751443937487
8-809msg1.txt,0,1,-11313.828216431346,-9777.360851053021
8-811msg1.txt,0,1,-864.5006771601182,-740.001863021835
8-811msg2.txt,0,1,-5462.31529706255,-4605.834261715102
8-814msg1.txt,0,1,-520.7839284068343,-476.221359308127
8-815msg1.txt,0,1,-1603.71602538295,-1361.799858776715
8-833msg1.txt,0,1,-1214.5506323564787,-1019.9644521007212
8-835msg1.txt,0,1,-872.3568759202902,-747.9635729954394
8-837msg1.txt,0,1,-744.9034524223136,-692.2025195670128
8-837msg2.txt,0,1,-6510.387502226454,-5659.285893686431
8-838msg1.txt,0,1,-8414.944338864578,-7402.166811976436
8-838msg2.txt,0,1,-10333.165008313259,-9484.653069216467
8-840msg1.txt,0,1,-2800.7709523853473,-2469.659676635207
8-845msg1.txt,0,1,-933.549559847234,-810.0848737341453
8-846msg1.txt,0,1,-1466.7271443203347,-1327.2675846262534
8-862msg1.txt,0,1,-923.5779986806766,-827.6364180872274
8-865msg1.txt,0,1,-2517.6550362496596,-2258.1119085428804
8-865msg2.txt,0,1,-2884.2191963547057,-2456.090954012777
8-865msg3.txt,0,1,-4748.26482886038,-4244.029532295774
8-871msg1.txt,0,1,-1349.7137999780257,-1179.7448017270206
8-873msg1.txt,0,1,-5239.371751810933,-4552.572658960128
8-875msg1.txt,0,1,-2497.448248842613,-2238.948526936894
8-885msg1.txt,0,1,-882.7264476359427,-716.3830584001629
8-887msg1.txt,0,1,-1660.952812441202,-1522.2422163143178
8-887msg2.txt,0,1,-2074.7309773719867,-1845.122807636041
8-893msg1.txt,0,1,-3871.569361224105,-3231.838841318985
8-894msg1.txt,0,1,-1842.232982446445,-1620.4687488733055
8-895msg1.txt,0,1,-3077.18281604784,-2763.2547921336545
8-896msg1.txt,0,1,-2404.079368960035,-2042.1475521574607
8-897msg1.txt,0,1,-1951.781986749571,-1601.229586017394
8-898msg1.txt,0,1,-1535.321507071628,-1266.2533206652624
8-899msg1.txt,0,1,-3673.451549349763,-3228.9328099566337
8-900msg1.txt,0,1,-1394.6090603793966,-1163.491509259617
8-901msg1.txt,0,1,-2030.5366570372823,-1715.172481158943
8-905msg1.txt,0,1,-1247.2221205255405,-1083.2308919712186
8-905msg2.txt,0,1,-2830.657195495521,-2500.3023282416493
8-916msg1.txt,0,1,-4180.150471328716,-3515.2313777478
8-949msg1.txt,0,1,-3135.2475162065143,-2709.6108510025088
8-949msg2.txt,0,1,-9338.85511940104,-9060.686571565568
8-951msg1.txt,0,1,-8754.932214418901,-7714.9636804236425
8-963msg1.txt,0,1,-1410.5482105804208,-1293.4006858628838
8-963msg2.txt,0,1,-8572.020641959272,-7897.201992919142
8-965msg1.txt,0,1,-9245.30646316554,-8640.4293151748
8-965msg2.txt,0,1,-5497.04728858727,-4850.150368353668
8-972msg1.txt,0,1,-3357.1118084523955,-2903.0413371800537
8-972msg2.txt,0,1,-3381.9120848541543,-3006.637247839651
8-984msg1.txt,0,1,-1545.890508401934,-1284.4245492745206
8-987msg1.txt,0,1,-8490.641604518143,-7910.767185142927
8-987msg2.txt,0,1,-727.7097203438772,-661.0430015252151
9-1001msg1.txt,0,1,-1001.5673998287789,-790.1817288931228
9-1002msg1.txt,0,1,-893.7541628531744,-757.9380211458232
9-1003msg1.txt,0,1,-1825.5838510591402,-1575.1882345160266
9-1004msg1.txt,0,1,-2849.991266952445,-2361.0818044880275
9-1008msg1.txt,0,1,-2036.1854076613783,-1767.0959498076932
9-1009msg1.txt,0,1,-4310.113659878561,-3534.8556929259357
9-1011msg1.txt,0,1,-2549.3160537423296,-2161.924360450862
9-1012msg1.txt,0,1,-2068.5025869333945,-1812.48600108673
9-1014msg1.txt,0,1,-9718.204168469043,-8643.242758985441
9-1017msg1.txt,0,1,-1641.2911148629873,-1315.5095879456235
9-1017msg2.txt,0,1,-1596.7185429140766,-1358.1840189966686
9-101msg1.txt,0,1,-2485.4079985917233,-2074.1240216895026
9-101msg2.txt,0,1,-7616.199657277373,-6401.633033787662
9-1020msg1.txt,0,1,-6246.3155733380045,-5292.799193478246
9-1020msg2.txt,0,1,-2173.051224252967,-1874.833888753544
9-1021msg1.txt,0,1,-1975.73977718838,-1624.8100787067342
